r;561;78;56;241;77;80;0;0;0;0;0
h;2349;78;76;80;77;80;78;81;253;0;0
a;79;58;240;267;0;0;0;0;0;0;0
b;218;77;79;77;80;78;81;388;0;0;0
i;79;77;79;285;0;0;0;0;0;0;0
t;239;338;0;0;0;0;0;0;0;0;0
u;79;76;79;78;222;996;0;0;0;0;0
e;98;264;0;0;0;0;0;0;0;0;0
l;99;57;241;58;101;58;81;271;0;0;0
.;99;58;240;77;80;59;246;60;81;80;230
m;1423;238;77;220;172;0;0;0;0;0;0
e;79;375;0;0;0;0;0;0;0;0;0
r;79;77;220;77;80;404;0;0;0;0;0
c;238;76;80;58;243;59;102;233;0;0;0
i;99;58;79;0;0;0;0;0;0;0;0
p;566;99;57;241;77;223;78;81;446;0;0
o;239;76;239;58;243;251;0;0;0;0;0
u;79;76;79;57;243;231;0;0;0;0;0
r;79;76;241;58;80;0;0;0;0;0;0
o;1517;238;76;220;78;243;212;0;0;0;0
e;79;207;0;0;0;0;0;0;0;0;0
e;79;169;0;0;0;0;0;0;0;0;0
e;79;395;0;0;0;0;0;0;0;0;0
c;244;58;79;77;243;59;81;273;0;0;0
s;79;76;79;77;80;480;0;0;0;0;0
e;79;189;0;0;0;0;0;0;0;0;0
e;79;170;0;0;0;0;0;0;0;0;0
e;78;189;0;0;0;0;0;0;0;0;0
i;79;151;100;0;0;0;0;0;0;0;0
c;1994;238;57;100;58;243;59;81;311;0;0
e;79;0;0;0;0;0;0;0;0;0;0
q;1283;238;58;241;58;100;59;246;253;0;0
s;97;58;79;77;80;231;0;0;0;0;0
o;239;76;221;77;242;1455;0;0;0;0;0
e;79;357;0;0;0;0;0;0;0;0;0
t;239;357;0;0;0;0;0;0;0;0;0
7;238;58;240;59;100;59;81;79;81;256;0
3;99;58;98;58;80;78;225;79;228;197;0
a;78;77;220;286;0;0;0;0;0;0;0
t;218;395;0;0;0;0;0;0;0;0;0
s;219;76;241;58;243;155;81;79;81;61;250
e;744;78;395;0;0;0;0;0;0;0;0
t;238;806;0;0;0;0;0;0;0;0;0
b;238;76;80;77;80;57;102;311;0;0;0
o;237;58;240;59;243;289;0;0;0;0;0
n;238;58;98;361;0;0;0;0;0;0;0
n;238;58;98;456;0;0;0;0;0;0;0
e;79;0;0;0;0;0;0;0;0;0;0
a;1375;98;76;221;266;0;0;0;0;0;0
n;246;58;99;323;0;0;0;0;0;0;0
n;239;58;99;361;0;0;0;0;0;0;0
e;99;450;0;0;0;0;0;0;0;0;0
e;79;320;0;0;0;0;0;0;0;0;0
.;79;76;241;58;80;78;225;79;82;80;230
b;218;95;98;59;80;78;81;233;0;0;0
k;239;76;80;58;243;250;0;0;0;0;0
f;98;57;80;77;243;59;81;233;0;0;0
5;79;77;79;58;101;58;81;79;82;256;0
n;239;76;79;229;0;0;0;0;0;0;0
w;79;76;221;77;243;289;0;0;0;0;0
y;219;76;79;77;242;59;246;660;0;0;0
d;218;77;79;77;80;232;0;0;0;0;0
e;79;0;0;0;0;0;0;0;0;0;0
f;544;98;58;79;77;244;58;81;215;0;0
5;97;58;79;77;81;78;80;60;101;217;0
u;99;57;98;59;243;212;0;0;0;0;0
j;99;58;240;57;243;78;225;350;0;0;0
a;79;56;241;0;0;0;0;0;0;0;0
<;1590;97;57;241;58;99;59;246;59;82;354
k;239;57;80;77;243;1151;0;0;0;0;0
r;93;75;244;76;76;211;0;0;0;0;0
r;93;75;245;75;76;422;0;0;0;0;0
f;75;94;75;76;247;77;76;233;0;0;0
5;93;75;76;94;76;77;77;77;98;215;0
u;93;75;94;76;247;192;0;0;0;0;0
d;93;75;245;75;247;77;250;116;78;78;236
e;93;0;0;0;0;0;0;0;0;0;0
f;821;92;75;94;76;228;96;76;233;0;0
5;93;94;75;75;76;77;96;77;78;235;0
n;242;75;94;208;0;0;0;0;0;0;0
w;93;75;245;76;247;268;0;0;0;0;0
y;242;94;75;76;247;77;249;349;0;0;0
t;261;75;75;76;94;77;77;78;252;901;241
o;261;74;245;76;247;211;0;0;0;0;0
u;74;75;94;76;247;249;0;0;0;0;0
t;242;543;0;0;0;0;0;0;0;0;0
o;261;75;244;76;247;230;0;0;0;0;0
k;242;75;94;75;248;612;0;0;0;0;0
m;242;75;245;265;0;0;0;0;0;0;0
i;74;75;94;266;0;0;0;0;0;0;0
c;241;75;94;76;247;77;77;251;0;0;0
